Id,SalePrice
1461,121063.433554
1462,149942.120765
1463,178766.117366
1464,195351.763439
1465,184301.809533
1466,174460.400926
1467,179590.732782
1468,164997.51021
1469,203965.729141
1470,116183.949142
1471,201222.301751
1472,96922.0558187
1473,95481.7594182
1474,147706.717613
1475,108329.966643
1476,338317.114583
1477,234655.85802
1478,321886.327547
1479,318142.734519
1480,467886.123693
1481,310127.800415
1482,217526.57024
1483,184222.734511
1484,163437.544622
1485,207124.43834
1486,202425.142763
1487,327309.818698
1488,222757.682796
1489,177357.040945
1490,242639.817823
1491,197300.173414
1492,100026.927933
1493,195918.312218
1494,294851.944889
1495,288536.056721
1496,228707.049331
1497,173438.042166
1498,157708.257187
1499,160591.738071
1500,157855.271582
1501,171396.334128
1502,146467.797706
1503,271036.193357
1504,226564.014925
1505,216258.585673
1506,191933.238727
1507,233059.569082
1508,193333.636456
1509,161175.847758
1510,142779.385894
1511,146796.781622
1512,176257.181535
1513,156712.262197
1514,140174.258808
1515,210825.191527
1516,160930.265859
1517,170697.950692
1518,132615.992716
1519,208039.358483
1520,122837.229892
1521,125737.657231
1522,179844.466325
1523,109191.008999
1524,125625.814921
1525,118062.024822
1526,110167.424078
1527,108759.312431
1528,144935.149587
1529,143530.982874
1530,198851.823819
1531,110046.596001
1532,104554.598454
1533,141381.593966
1534,120046.71845
1535,152980.890715
1536,109186.256022
1537,55782.1927984
1538,147026.004565
1539,186974.896583
1540,90252.8661872
1541,139631.174949
1542,131394.521531
1543,182385.271196
1544,90788.5814242
1545,112039.864631
1546,125042.40122
1547,132723.615839
1548,131317.662297
1549,115671.990791
1550,123891.152962
1551,112512.489831
1552,123128.939384
1553,147495.105733
1554,112796.0943
1555,161188.294884
1556,95035.5315336
1557,107383.306068
1558,101636.650731
1559,53490.1518448
1560,136641.28924
1561,123356.429269
1562,123864.153625
1563,116181.335838
1564,154821.442508
1565,143792.003841
1566,239441.933629
1567,84291.1188532
1568,207436.989091
1569,110683.429075
1570,134259.730133
1571,121668.439099
1572,131905.136671
1573,223799.52333
1574,106650.753271
1575,224701.595924
1576,242249.515674
1577,181490.8015
1578,149174.018338
1579,146931.723704
1580,188805.840602
1581,159773.010174
1582,124177.363396
1583,278292.243951
