,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,ExterQual_TA,FireplaceQu_Gd,FireplaceQu_TA,BldgType_1Fam,KitchenQual_TA,BsmtFinType1_GLQ,BsmtExposure_Gd,HouseStyle_2Story,Foundation_PConc,MasVnrType_None,BsmtQual_Ex,Neighborhood_Crawfor,HouseStyle_1Story,Neighborhood_NoRidge,GarageCond_TA,SaleCondition_Abnorml,KitchenQual_Ex,Neighborhood_NridgHt,PavedDrive_Y,Neighborhood_MeadowV,MSZoning_RM,ExterCond_Fa,RoofStyle_Gable,KitchenQual_Fa,Exterior1st_BrkFace,MSZoning_C (all),Functional_Maj2,BsmtQual_Gd,Neighborhood_Edwards,SalePrice
0,4.11087386417,4.18965474203,9.04204005654,2.07944154168,1.79175946923,7.6029004622,7.6029004622,5.28320372874,6.5610306659,0.0,5.01727983681,6.7534379186,6.7534379186,6.75110146894,0.0,7.44483327389,0.69314718056,0.0,1.09861228867,0.69314718056,1.38629436112,0.69314718056,2.19722457734,0.0,7.6029004622,1.09861228867,6.30809844151,0.0,4.12713438505,0.0,0.0,0.0,0.0,0.0,1.09861228867,7.60539236481,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.2476991164
1,3.04452243772,4.39444915467,9.1696225387,1.94591014906,2.19722457734,7.58933582317,7.58933582317,0.0,6.88653164253,0.0,5.65248918027,7.14124512235,7.14124512235,0.0,0.0,7.14124512235,0.0,0.69314718056,1.09861228867,0.0,1.38629436112,0.69314718056,1.94591014906,0.69314718056,7.58933582317,1.09861228867,6.133398043,5.70044357339,0.0,0.0,0.0,0.0,0.0,0.0,1.79175946923,7.60489448081,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.1090164423
2,4.11087386417,4.2341065046,9.32821229257,2.07944154168,1.79175946923,7.60190195988,7.60240133567,5.09375020081,6.18826412308,0.0,6.07534603109,6.82546003626,6.82546003626,6.76503897678,0.0,7.48829351516,0.69314718056,0.0,1.09861228867,0.69314718056,1.38629436112,0.69314718056,1.94591014906,0.69314718056,7.60190195988,1.09861228867,6.41181826771,0.0,3.76120011569,0.0,0.0,0.0,0.0,0.0,2.30258509299,7.60539236481,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.3171711673
3,4.26267987704,4.11087386417,9.16440114003,2.07944154168,1.79175946923,7.55799495853,7.58629630715,0.0,5.37989735354,0.0,6.29341927885,6.62936325344,6.86901445067,6.62936325344,0.0,7.44891610254,0.69314718056,0.0,0.69314718056,0.0,1.38629436112,0.69314718056,2.07944154168,0.69314718056,7.6004023345,1.38629436112,6.46614472424,0.0,3.58351893846,5.60947179518,0.0,0.0,0.0,0.0,1.09861228867,7.6043963488,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8494048444
4,4.11087386417,4.44265125649,9.56528381774,2.19722457734,1.79175946923,7.60140233458,7.60140233458,5.86078622347,6.48616078894,0.0,6.19644412779,7.04403289727,7.04403289727,6.9603477291,0.0,7.69575799055,0.69314718056,0.0,1.09861228867,0.69314718056,1.60943791243,0.69314718056,2.30258509299,0.69314718056,7.60140233458,1.38629436112,6.72982407049,5.2626901889,4.44265125649,0.0,0.0,0.0,0.0,0.0,2.56494935746,7.60539236481,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.4292201968
5,3.93182563272,4.45434729625,9.5550641848,1.79175946923,1.79175946923,7.59789795052,7.59890045687,0.0,6.59714570189,0.0,4.1743872699,6.68085467879,6.68085467879,6.34035930373,0.0,7.2174434317,0.69314718056,0.0,0.69314718056,0.69314718056,0.69314718056,0.69314718056,1.79175946923,0.0,7.59789795052,1.09861228867,6.17586727011,3.7135720667,3.43398720449,0.0,5.77144112313,0.0,0.0,6.55250788703,2.3978952728,7.60589000105,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.8706069022
6,3.04452243772,4.33073334029,9.21880445039,2.19722457734,1.79175946923,7.60339933974,7.60389796852,5.23110861685,7.22256601882,0.0,5.76205138278,7.43070708255,7.43543801981,0.0,0.0,7.43543801981,0.69314718056,0.0,1.09861228867,0.0,1.38629436112,0.69314718056,2.07944154168,0.69314718056,7.60339933974,1.09861228867,6.45676965557,5.54517744448,4.06044301055,0.0,0.0,0.0,0.0,0.0,2.19722457734,7.60489448081,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6346062839
7,4.11087386417,4.19617467053,9.2479251323,2.07944154168,1.94591014906,7.58781721999,7.58781721999,5.48479693349,6.75693238925,3.49650756147,5.37989735354,7.01031186731,7.01031186731,6.89162589705,0.0,7.64539769943,0.69314718056,0.0,1.09861228867,0.69314718056,1.38629436112,0.69314718056,2.07944154168,1.09861228867,7.58781721999,1.09861228867,6.18414889094,5.46383180503,5.32300997914,5.43372200355,0.0,0.0,0.0,5.86078622347,2.48490664979,7.60589000105,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.2060776455
8,3.93182563272,3.95124371858,8.71948076085,2.07944154168,1.79175946923,7.56631101477,7.57609734062,0.0,0.0,0.0,6.85961490365,6.85961490365,6.93049476595,6.6240652278,0.0,7.48155570191,0.0,0.0,1.09861228867,0.0,1.09861228867,1.09861228867,2.19722457734,1.09861228867,7.56631101477,1.09861228867,6.15060276845,4.51085950652,0.0,5.32787616879,0.0,0.0,0.0,0.0,1.60943791243,7.60539236481,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.7745279009
9,5.25227342805,3.93182563272,8.91206909797,1.79175946923,1.94591014906,7.57044325206,7.57609734062,0.0,6.74758652683,0.0,4.94875989038,6.89972310728,6.98286275147,0.0,0.0,6.98286275147,0.69314718056,0.0,0.69314718056,0.0,1.09861228867,1.09861228867,1.79175946923,1.09861228867,7.57044325206,0.69314718056,5.32787616879,0.0,1.60943791243,0.0,0.0,0.0,0.0,0.0,0.69314718056,7.60539236481,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.678448378
